overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq
,bladder cell,0610007P08Rik,9130011J15Rik,Ackr3,0610007C21Rik,Abca8a,App,3632451O06Rik,,bladder urothelial cell,0610007P14Rik,Cltc,1700027J19Rik,0610009D07Rik,Acer2,,1110008P14Rik
,,0610009O20Rik,A130040M12Rik,Adamdec1,0610007N19Rik,Adamts10,F3,AW112010,,,0610007P22Rik,D14Ertd449e,9530034E10Rik,0610040J01Rik,Akr1b3,,1810037I17Rik
,,1110018J18Rik,Abhd16a,Adgrd1,0610037L13Rik,Adamtsl5,Hoxa10,Abhd14a,,,0610009L18Rik,Hnrnpa0,Adh1,1110003E01Rik,Ap1m2,,2010107E04Rik
,,1110028C15Rik,Akr1a1,Ahr,1110002B05Rik,Adcy7,Myl12a,Abi3bp,,,0610010O12Rik,Plxnb2,Adtrp,1110008F13Rik,Arl6ip1,,2200002D01Rik
,,1110038B12Rik,Anxa1,Aldh1a1,1110065P20Rik,Ahnak,Nampt,Acadsb,,,0610011F06Rik,Polr2l,Coa3,1110017F19Rik,Atp5c1,,2410015M20Rik
,,1110050K14Rik,Ap2m1,B3gnt9,1500012F01Rik,Apod,Plat,Actg2,,,0610011L14Rik,Rpl31-ps12,Cops9,1110032A04Rik,Bola3,,8430408G22Rik
,,1110051M20Rik,Arf1,Basp1,1500032L24Rik,Arl1,Prkar1a,Actn1,,,0610030E20Rik,Vegfa,Cyb5a,1190003J15Rik,Capn13,,Abcd3
,,1110057K04Rik,Arl6ip5,Bglap2,1700019E19Rik,B4galt1,Ptgs1,Adam23,,,1110001A16Rik,,Cystm1,1300001I01Rik,Cblc,,Abhd12
,,1190002H23Rik,Atp6ap2,Bmp7,1810006K21Rik,C3,Slc3a2,Adamts2,,,1110004E09Rik,,Fam207a,1500003O03Rik,Cib1,,Acaa1b
,,1190002N15Rik,Azin1,Bzw2,1810027O10Rik,Cbx6,Sqrdl,Add3,,,1110004F10Rik,,Gm16136,1600029D21Rik,Clu,,Acadl
,,1300014I06Rik,Brd2,C1qtnf3,1810055G02Rik,Cdc42ep2,Tram1,Adk,,,1110008L16Rik,,Gm9843,1810008A18Rik,Cox7b,,Acox1
,,1500011H22Rik,Btg2,C1s1,2010002N04Rik,Csf1,Ugdh,Aebp1,,,1110014N23Rik,,Gstm2-ps1,1810011O10Rik,Ctsd,,Adipor2
,,1700011J10Rik,C1d,Ccndbp1,2310044H10Rik,Dpt,Wls,Akap12,,,1110020G09Rik,,Hacd2,1810046J19Rik,Dbnl,,Akr1b8
,,1810020D17Rik,Ccdc85b,Cd55,2410006H16Rik,Eln,Xpnpep1,Aldh1a2,,,1110031I02Rik,,Hba-a1,2010109K11Rik,Duoxa1,,Aldh1a7
,,1810041L15Rik,Cdc42,Cd63-ps,4930583H14Rik,Fmo2,,Aldh2,,,1110049F12Rik,,Hba-a2,2210411K11Rik,Entpd6,,Aldh3b2
,,1810074P20Rik,Cdk16,Celf2,9030425E11Rik,Fzd7,,Angptl2,,,1110054M08Rik,,Hbb-bs,2410004N09Rik,Fabp4,,Alpl
,,2010106G01Rik,Cdk4,Clmp,9530068E07Rik,G0s2,,Antxr1,,,1110054O05Rik,,Mfsd4a,2610035D17Rik,Fam174b,,Apoc1
,,2010320M18Rik,Cfl1,Copg1,A430107O13Rik,Gabra3,,Anxa2,,,1190005F20Rik,,Mien1,2900053A13Rik,Ftl1,,Aqp3
,,2210013O21Rik,Chic2,Cped1,A4galt,Gas1,,Anxa5,,,1190007I07Rik,,Msmo1,4931406C07Rik,Hsd17b2,,Arpc1a
,,2310008H04Rik,Clic1,Cpq,AI597468,Gpc3,,Anxa6,,,1200011M11Rik,,Nectin2,4933407C03Rik,Mapk13,,Atox1
,,2310022B05Rik,Cnih,Creld2,Aard,Gxylt2,,Aprt,,,1300002E11Rik,,Pkm,5430407P10Rik,Marcksl1,,Atp5a1
,,2310047M10Rik,Csnk1d,Dmkn,Abca1,Heg1,,Arap1,,,1300010F03Rik,,Plet1,5730469M10Rik,Mdh1,,Atp6v0e
,,2410089E03Rik,Ctbp1,Dner,Abhd8,Hspa12b,,Arf4,,,1300018J18Rik,,Plpp2,5730559C18Rik,Mocs2,,Atrn
,,2510009E07Rik,Cuedc2,Epb41l2,Ablim1,Igf1,,Arhgef25,,,1500002O20Rik,,Sf3b6,6430527G18Rik,Ndufa12,,Bace2
,,2610034B18Rik,Cyb5r3,Eva1b,Acat1,Il6st,,Asz1,,,1500011B03Rik,,Smim22,9130008F23Rik,Ormdl1,,Cbr2
,,2610301B20Rik,Dap,Fam210b,Acta2,Lamb1,,Atf5,,,1600012H06Rik,,Sprr2a3,9230102O04Rik,Osbpl2,,Cd200r3
,,2610524H06Rik,Ddx5,Foxf1,Acvrl1,Lrrc32,,Atp1a2,,,1600014C10Rik,,Sptssb,9530036O11Rik,Phyh,,Cd24a
,,2700081O15Rik,Ddx50,Gdf10,Adamts1,Man1a,,Atp2b1,,,1600021P15Rik,,Tspan13,AA986860,Polb,,Cdh1
,,2810055F11Rik,Dek,Ginm1,Adck4,Olfml2b,,Avpr1a,,,1700001L05Rik,,Urah,AI848100,Ppa1,,Cds1
,,2900092E17Rik,Derl1,Gm13588,Adprh,Parp3,,Axl,,,1700009P17Rik,,,AW555464,Prdx3,,Chchd10
,,4632428N05Rik,Dynlrb1,Id2,Afap1,Pcdh18,,Bfar,,,1700017B05Rik,,,Abcc3,Psapl1,,Cisd1
,,4921524J17Rik,Efna5,Itgbl1,Aga,Pdgfd,,Bgn,,,1700020I14Rik,,,Abcc4,Pycard,,Ckmt1
,,4930414L22Rik,Eif1a,Lrat,Agpat4,Pla1a,,Bicc1,,,1700020O03Rik,,,Abhd6,Rnf181,,Cldn4
,,4930444A02Rik,Eif5a,Lrp10,Aida,Pmepa1,,Bmp1,,,1700029G01Rik,,,Acbd6,Scp2,,Cldn7
,,4931440P22Rik,Entpd4,Medag,Ak1,Postn,,Bmp4,,,1810012P15Rik,,,Acot1,Sdr42e1,,Cmbl
,,4933421O10Rik,Ergic3,Nqo1,Ak3,Prss23,,Bmp5,,,1810014F10Rik,,,Acot7,Tc2n,,Cox17
,,4933426M11Rik,Fam18b,Nrep,Akap2,Ptch1,,C1qtnf2,,,1810019D21Rik,,,Acsl3,Timm8b,,Cox4i1
,,4933439F18Rik,Fkbp3,Ntrk1,Akt2,Ptprk,,C1qtnf7,,,1810019J16Rik,,,Actn4,Tmem184a,,Cox6b1
,,5031426D15Rik,Fkbp8,Papss1,Alg5,S1pr2,,C1ra,,,1810026B05Rik,,,Adam10,Tspan6,,Cox8a
,,5430435G22Rik,Gadd45a,Pcolce2,Alkbh5,Scn7a,,C2,,,1810035L17Rik,,,Adam28,Tspan8,,Cstb
,,5730409E04Rik,Gdi2,Phlda1,Anapc11,Sept4,,C4b,,,1810043H04Rik,,,Adh7,Uchl3,,Ctnnb1
,,5730437N04Rik,Gpx4,Pla2g4a,Anapc5,Sh3bp5,,Cadm3,,,2010016I18Rik,,,Adm,Vps36,,Ctse
,,5730455P16Rik,H1f0,Pla2g7,Ankrd12,Slc29a1,,Calcrl,,,2010107G23Rik,,,Aebp2,Wbscr27,,Ctsh
,,5730494M16Rik,H2-D1,Plpp1,Anpep,Slc39a13,,Cald1,,,2010305A19Rik,,,Aff1,,,Cyp4f15
,,6330406I15Rik,H2afv,Plpp3,Antxr2,Slit3,,Calu,,,2010321M09Rik,,,Ahcyl2,,,Dbi
,,6530401N04Rik,Herpud2,Ptgfrn,Ap3s1,Srpx2,,Camk2n1,,,2210016F16Rik,,,Ahr,,,Defb1
,,9330159F19Rik,Higd1a,RP24-105I7.2,Appl1,Sulf2,,Capn2,,,2210403K04Rik,,,Aim1,,,Degs2
,,9430020K01Rik,Hmgb1,Selenof,Arhgap28,Tgfbr2,,Car3,,,2210408F21Rik,,,Akirin1,,,Dgat2
,,9530082P21Rik,Hnrnph1,Selenom,Arhgap31,Tgoln1,,Ccdc80,,,2310001A20Rik,,,Alcam,,,Dnmt3l
,,9830001H06Rik,Hnrpdl,Selenop,Arid5a,Tmem204,,Cck,,,2310003C23Rik,,,Aldh3a1,,,Dsg2
,,A630007B06Rik,Ier3,Sfrp4,Arid5b,Tnfsf13b,,Ccnd3,,,2310003H01Rik,,,Aldh6a1,,,Dynlt3
,,A930001N09Rik,Ier5,Slc1a5,Arih1,Tppp3,,Cd164,,,2310004I24Rik,,,Als2cl,,,Ebpl
,,AI480653,Impdh2,Snap47,Arl13b,Tshz2,,Cd200,,,2310004N24Rik,,,Anapc13,,,Eef1b2
,,AI506816,Iscu,Snhg18,Arl3,Vcl,,Cd248,,,2310008H09Rik,,,Ank3,,,Elf3
,,AI593442,Itm2b,Sptbn1,Arl4a,,,Cd302,,,2310009B15Rik,,,Ankrd22,,,Enpp5
,,AW549877,Lamp1,Stc2,Arl4c,,,Cd34,,,2310011J03Rik,,,Ankrd50,,,Entpd3
,,AW551984,Lmna,Stmn2,Arl4d,,,Cd47,,,2310016M24Rik,,,Ano1,,,Epcam
,,Abat,Maff,Sulf1,Armcx3,,,Cd63,,,2310035C23Rik,,,Anxa11,,,Ergic1
,,Abca5,Mapre1,Tceal9,Arsb,,,Cd81,,,2310036O22Rik,,,Anxa3,,,Ermp1
,,Abca9,Mat2a,Tnfrsf19,As3mt,,,Cdh11,,,2310037I24Rik,,,Anxa4,,,Ezr
,,Abcg1,Mgat2,Tpm1,Atf3,,,Ces2g,,,2310043J07Rik,,,Anxa8,,,F11r
,,Abcg2,Nedd8,Tspan8,B2m,,,Cfh,,,2310061I04Rik,,,Apc,,,Fa2h
,,Abi2,Ngfrap1,,B3gnt1,,,Cgrrf1,,,2310067B10Rik,,,Aplp2,,,Fabp5
,,Abl1,Oaz1,,B3gnt9-ps,,,Chodl,,,2400003C14Rik,,,Arap2,,,Fam25c
,,Acap3,Paip2,,B4galt5,,,Chpf,,,2410001C21Rik,,,Areg,,,Fau
,,Acp2,Phf23,,BC013529,,,Clec11a,,,2410002O22Rik,,,Arfgef1,,,Fbp2
,,Adam15,Pim3,,BC017612,,,Clec3b,,,2410004B18Rik,,,Arhgef5,,,Fdps
,,Adam17,Plac9,,Bag3,,,Cmtm3,,,2410016O06Rik,,,Arpp19,,,Fmo5
,,Adam19,Prdx1,,Batf,,,Cnn2,,,2410042D21Rik,,,Asns,,,Foxq1
,,Adam9,Prdx2,,Bcl7c,,,Cnn3,,,2500003M10Rik,,,Atp13a3,,,Fuca2
,,Adamts4,Ptma,,Bdh2,,,Col12a1,,,2510002D24Rik,,,Atp1a1,,,Fxyd3
,,Adamts5,Rab18,,Bhlhe40,,,Col14a1,,,2510006D16Rik,,,Atp1b1,,,G6pdx
,,Adamts9,Rab5a,,Birc3,,,Col15a1,,,2510039O18Rik,,,Atp1b3,,,Galnt6
,,Adamtsl1,Raly,,Bloc1s1,,,Col16a1,,,2610018G03Rik,,,Atp5e,,,Gata3
,,Adamtsl3,Rbm3,,Bmp2,,,Col1a1,,,2610019F03Rik,,,Atp5g2,,,Gjb6
,,Adamtsl4,Rhoa,,Boc,,,Col1a2,,,2610027L16Rik,,,Atp5g3,,,Gltp
,,Add1,Rnh1,,Bst2,,,Col3a1,,,2610101N10Rik,,,Atp5l,,,Gpa33
,,Ado,Sarnp,,C1qtnf1,,,Col4a1,,,2610301G19Rik,,,Atp8b1,,,Gsdmc2
,,Agk,Sat1,,C1qtnf6,,,Col4a2,,,2610528E23Rik,,,Atpif1,,,Gsta2
,,Agtrap,Sdcbp,,C1s,,,Col4a5,,,2610528J11Rik,,,Avpi1,,,Gsta4
,,Ahi1,Selk,,Cacnb3,,,Col5a1,,,2700060E02Rik,,,B4galt6,,,Gstm4
,,Ahsa2,Sertad2,,Calm2,,,Col5a2,,,2700089E24Rik,,,Baiap2l1,,,Gsto1
,,Aif1l,Sf3b1,,Calm3,,,Col6a1,,,2700097O09Rik,,,Bcam,,,Gstt3
,,Airn,Sfr1,,Calml4,,,Col6a2,,,2810004N23Rik,,,Bcar3,,,H2afj
,,Akap11,Slbp,,Calr,,,Col6a3,,,2810008D09Rik,,,Bicd2,,,Hebp2
,,Akap13,Snrpb,,Camk1,,,Col8a1,,,2810008M24Rik,,,Bola2,,,Hsd17b12
,,Akt3,Snx3,,Camk2d,,,Colec12,,,2810046L04Rik,,,Braf,,,Hsdl2
,,Aldh18a1,Sod2,,Capns1,,,Copz2,,,2810403A07Rik,,,Btf3,,,Idh1
,,Aldh7a1,Sqstm1,,Carhsp1,,,Cox6b2,,,2810407C02Rik,,,C030046I01Rik,,,Igfbp2
,,Als2cr4,Sra1,,Casc4,,,Cpxm1,,,2810422J05Rik,,,C1qtnf4,,,Igsf5
,,Amigo2,Sri,,Casp12,,,Cpz,,,2810432L12Rik,,,C77080,,,Il17re
,,Amotl1,Srsf2,,Casp4,,,Creb3l1,,,2810453I06Rik,,,Cab39,,,Ivl
,,Ampd2,Srsf3,,Cav1,,,Crispld2,,,2810474O19Rik,,,Capn1,,,Jup
,,Ampd3,Srsf7,,Cbx4,,,Crtap,,,2900010M23Rik,,,Capn5,,,Kcnk1
,,Ank2,Stt3a,,Ccdc23,,,Csrp1,,,2900026A02Rik,,,Cast,,,Krt15
,,Ankrd46,Tceb1,,Ccnl1,,,Csrp2,,,3110002H16Rik,,,Casz1,,,Krt18
,,Anks3,Tfg,,Ccpg1,,,Cst3,,,3110043O21Rik,,,Cav2,,,Krt19
,,Aox3,Tmed10,,Ccrl2,,,Ctdsp2,,,3200002M19Rik,,,Ccbl1,,,Krt20
,,Ap1m1,Tmed2,,Cdkn2d,,,Ctsf,,,4632427E13Rik,,,Ccdc109a,,,Krt5
,,Ap2a2,Tmem59,,Cdr2l,,,Ctsk,,,4833439L19Rik,,,Ccdc56,,,Krt7
,,Apaf1,Tra2b,,Cebpb,,,Ctsl,,,4921506M07Rik,,,Ccdc6,,,Krt8
,,Apcdd1,Trip6,,Cebpd,,,Ctsz,,,4930402H24Rik,,,Ccdc72,,,Lad1
,,Apoe,Tubb2a,,Cfb,,,Cxcl12,,,4930420K17Rik,,,Ccrn4l,,,Ldhb
,,Arcn1,Ubc,,Chst12,,,Cxcl14,,,4930452B06Rik,,,Cd2ap,,,Lgals3
,,Arfgap1,Ube2d3,,Chst2,,,Cyba,,,4930453N24Rik,,,Cd55,,,Lmo1
,,Arfip2,Ugp2,,Cish,,,Cygb,,,4930471M23Rik,,,Cd9,,,Lsr
,,Arhgap17,Vdac3,,Cited2,,,Cyr61,,,4930506M07Rik,,,Cdc42ep5,,,Ly6d
,,Arhgap20,Yif1a,,Ckap4,,,Dab2,,,4930556M19Rik,,,Cdc42se1,,,Lypd3
,,Arhgap44,Yipf4,,Clic4,,,Dcn,,,4932411E22Rik,,,Cdkn2b,,,Mal
,,Arhgap6,Ywhah,,Clk1,,,Ddah2,,,4933403F05Rik,,,Cdv3,,,Me1
,,Arhgef10,,,Cmtm7,,,Ddr2,,,4933416M07Rik,,,Cela1,,,Mgst1
,,Arhgef17,,,Cnpy2,,,Degs1,,,4933421E11Rik,,,Cgn,,,Mgst2
,,Arhgef19,,,Cnpy3,,,Dkk2,,,4933434E20Rik,,,Chac1,,,Mgst3
,,Arhgef2,,,Cnpy4,,,Dkk3,,,5031439G07Rik,,,Chchd2,,,Mif
,,Arhgef3,,,Cnrip1,,,Dnajb1,,,5430416N02Rik,,,Chka,,,Mpzl2
,,Arhgef40,,,Cntn4,,,Dnajc3,,,5430417L22Rik,,,Chmp1b,,,Myof
,,Arl5b,,,Col11a1,,,Dpep1,,,5730403B10Rik,,,Clcn3,,,Ndrg2
,,Arl6,,,Col27a1,,,Dpysl3,,,5730494N06Rik,,,Cldn23,,,Nfe2l3
,,Armc1,,,Col4a6,,,Dtx3,,,5730507C01Rik,,,Clint1,,,Nipal1
,,Armcx1,,,Copb2,,,Dynll1,,,5730508B09Rik,,,Cmc1,,,Nop10
,,Armcx2,,,Cope,,,Ecm1,,,5730528L13Rik,,,Cmtm4,,,Nrarp
,,Arnt,,,Copg,,,Efemp1,,,5830433M19Rik,,,Coq7,,,Ociad2
,,Arrdc3,,,Crip1,,,Efemp2,,,6030458C11Rik,,,Cox5a,,,Oit1
,,Arsa,,,Cryab,,,Egr1,,,6330409N04Rik,,,Cox7a2l,,,Osgin1
,,Arsj,,,Csgalnact2,,,Ehd2,,,6720401G13Rik,,,Cpe,,,Pabpc1
,,Arsk,,,Csrnp1,,,Emilin1,,,6820431F20Rik,,,Cpeb2,,,Paqr5
,,Asap1,,,Ctsb,,,Emp1,,,8430410A17Rik,,,Cpt1a,,,Parm1
,,Atad2,,,Cxcl10,,,Emp3,,,9330133O14Rik,,,Crb3,,,Pdcl3
,,Atg16l2,,,Cxcl16,,,Enpp2,,,9430008C03Rik,,,Creld1,,,Pdzk1ip1
,,Atg9a,,,Cxcr7,,,Entpd2,,,9430016H08Rik,,,Ctnna1,,,Pebp1
,,Athl1,,,Cxx1c,,,F2r,,,9430023L20Rik,,,Ctnnal1,,,Perp
,,Atp10a,,,Cyp1b1,,,Fam105a,,,9430038I01Rik,,,Ctnnd1,,,Pgrmc1
,,Atp2b4,,,Cyp27a1,,,Fam114a1,,,9530008L14Rik,,,Cxadr,,,Pllp
,,Atp7a,,,D17Wsu104e,,,Fblim1,,,9930021J03Rik,,,Cyb5,,,Ppdpf
,,Atp8b2,,,D4Wsu53e,,,Fbln1,,,A130010J15Rik,,,Cyb561,,,Ppfibp2
,,Atrip,,,Dact1,,,Fbln2,,,A130040M12Rik,,,Cyb5b,,,Ppia
,,Atrnl1,,,Dad1,,,Fbln5,,,A2ld1,,,Cyp2f2,,,Prdx5
,,Axin2,,,Dbn1,,,Fbn1,,,A330049M08Rik,,,D15Ertd621e,,,Prkab1
,,B230120H23Rik,,,Dbp,,,Fcgrt,,,A730017L22Rik,,,D17Wsu92e,,,Psca
,,B3galnt1,,,Dctn2,,,Fgfr1,,,A830080D01Rik,,,Dazap2,,,Ptgr1
,,B3galtl,,,Dctn6,,,Fhl1,,,A930005H10Rik,,,Dcxr,,,Ptprf
,,B3gnt8,,,Ddit3,,,Fkbp10,,,AA960436,,,Ddx6,,,Pttg1ip
,,B4galt2,,,Ddost,,,Fkbp14,,,AI463170,,,Dennd2c,,,Rab11a
,,B9d1,,,Dennd5a,,,Fkbp7,,,AI846148,,,Depdc7,,,Rab15
,,B9d2,,,Dhrs1,,,Fkbp9,,,AU019823,,,Dhcr24,,,Rab25
,,BC003331,,,Dhrs7,,,Fmo1,,,AU040320,,,Dhx40,,,Rab27b
,,BC006779,,,Diap2,,,Fn1,,,AW209491,,,Dnm2,,,Reep4
,,BC017643,,,Dlgap4,,,Fndc1,,,Aagab,,,Dock8,,,Rhov
,,BC023829,,,Dnaja1,,,Fstl1,,,Aamp,,,Dppa5a,,,Rnf128
,,BC029214,,,Dnajb11,,,Fstl3,,,Aars,,,Dsp,,,Rpl14
,,BC029722,,,Dnajb9,,,Fxyd1,,,Aasdhppt,,,Dusp16,,,Rpl29
,,BC030336,,,Dnajc1,,,Fxyd5,,,Abca3,,,Dusp4,,,Rplp0
,,BC031353,,,Dnajc10,,,Fxyd6,,,Abcb8,,,Dusp6,,,Rps6
,,BC096441,,,Dnajc25,,,Fzd1,,,Abcc1,,,Dynll2,,,S100a11
,,Bace1,,,Dnm1,,,Gaa,,,Abcd4,,,Eci1,,,S100a14
,,Bach1,,,Dpm3,,,Gabarapl1,,,Abce1,,,Edf1,,,Scamp5
,,Bad,,,Dpysl2,,,Gadd45g,,,Abcf1,,,Eef1a1,,,Sdc1
,,Bcat1,,,Dse,,,Gas5,,,Abcf2,,,Eef1g,,,Serinc2
,,Bcl9l,,,Dusp1,,,Gas6,,,Abcf3,,,Eef2,,,Sfn
,,Bcor,,,E130203B14Rik,,,Gda,,,Abhd10,,,Eef2k,,,Sgpl1
,,Bdkrb2,,,Echdc2,,,Gfpt2,,,Abhd13,,,Efnb2,,,Sh3bgrl2
,,Best1,,,Egflam,,,Gm2a,,,Abhd2,,,Egln3,,,Sh3gl2
,,Bet1l,,,Egr2,,,Gm973,,,Abhd4,,,Ehf,,,Shh
,,Bmp2k,,,Eid1,,,Gnas,,,Abi1,,,Ei24,,,Slc14a1
,,Bmpr2,,,Eif1b,,,Gngt2,,,Abt1,,,Eif2s2,,,Slc25a10
,,Bmyc,,,Eml1,,,Golim4,,,Abtb1,,,Eif3f,,,Slc25a5
,,Bnc2,,,Eng,,,Gpc6,,,Acaa1a,,,Eif4b,,,Slc35f5
