cell.type,ppv,recall,TF_1,TF_2,TF_3,TF_4,score
Bladder__bladder.cell,0.184615384615385,0.6,Aebp1,Zbtb20,Nfe2l2,Xbp1,0.784615384615385
Bladder__bladder.cell,0.138461538461538,0.6,Zbtb20,Nfix,Nfe2l2,Xbp1,0.738461538461539
Bladder__bladder.cell,0.230263157894737,0.583333333333333,Aebp1,Nfic,Nfe2l2,Xbp1,0.81359649122807
Bladder__bladder.urothelial.cell,0.721518987341772,0.95,Foxq1,Klf5,Gata3,Nfe2l2,1.67151898734177
Bladder__bladder.urothelial.cell,0.835820895522388,0.933333333333333,Foxq1,Gata3,Nfe2l2,Tgif1,1.76915422885572
Bladder__bladder.urothelial.cell,0.948275862068966,0.916666666666667,Foxq1,Elf3,Gata3,Nfe2l2,1.86494252873563
Brain_Non.Myeloid__Bergmann.glial.cell,0.338983050847458,0.540540540540541,Tsc22d4,Sox9,Eno1,Tcf4,0.879523591387998
Brain_Non.Myeloid__Bergmann.glial.cell,0.575757575757576,0.513513513513513,Tsc22d4,Sox9,Eno1,Npas3,1.08927108927109
Brain_Non.Myeloid__Bergmann.glial.cell,0.238095238095238,0.540540540540541,Tsc22d4,Sox9,Nfia,Nfib,0.778635778635779
Brain_Non.Myeloid__oligodendrocyte,0.872727272727273,0.8,Olig1,Nkx6.2,Sox10,Klf13,1.67272727272727
Brain_Non.Myeloid__oligodendrocyte,0.857142857142857,0.8,Olig1,Nkx6.2,Tsc22d4,Klf13,1.65714285714286
Brain_Non.Myeloid__oligodendrocyte,0.576470588235294,0.816666666666667,Olig1,Tsc22d4,Sox10,Klf13,1.39313725490196
Brain_Non.Myeloid__neuron,0.22,0.366666666666667,Purb,Camta1,Tcf25,Ctbp1,0.586666666666667
Brain_Non.Myeloid__neuron,0.857142857142857,0.3,Myt1l,Fbxw7,Purb,Tcf25,1.15714285714286
Brain_Non.Myeloid__neuron,0.655172413793103,0.316666666666667,Ndn,Fbxw7,Purb,Tcf25,0.97183908045977
Brain_Non.Myeloid__oligodendrocyte.precursor.cell,0.814285714285714,0.95,Olig1,Olig2,Tsc22d1,Tcf4,1.76428571428571
Brain_Non.Myeloid__oligodendrocyte.precursor.cell,0.848484848484849,0.933333333333333,Olig1,Olig2,Sox10,Tsc22d1,1.78181818181818
Brain_Non.Myeloid__oligodendrocyte.precursor.cell,0.963636363636364,0.883333333333333,Olig1,Olig2,Kcnip3,Tsc22d1,1.8469696969697
Brain_Non.Myeloid__astrocyte.of.the.cerebral.cortex,0.406779661016949,0.4,Tsc22d4,Sox9,Tcf4,Eno1,0.806779661016949
Brain_Non.Myeloid__astrocyte.of.the.cerebral.cortex,0.363636363636364,0.4,Tsc22d4,Sox9,Tcf4,Nfia,0.763636363636364
Brain_Non.Myeloid__astrocyte.of.the.cerebral.cortex,0.611111111111111,0.366666666666667,Tsc22d4,Sox9,Sox2,Eno1,0.977777777777778
Brain_Non.Myeloid__endothelial.cell,0.155844155844156,0.8,Tsc22d1,Epas1,Ctnnb1,Tsc22d3,0.955844155844156
Brain_Non.Myeloid__endothelial.cell,0.777777777777778,0.7,Tsc22d1,Epas1,Foxq1,Tsc22d3,1.47777777777778
Brain_Non.Myeloid__endothelial.cell,0.666666666666667,0.7,Tsc22d1,Epas1,Ctnnb1,Foxq1,1.36666666666667
Brain_Non.Myeloid__brain.pericyte,0.473684210526316,0.6,Tsc22d1,Heyl,Epas1,Mef2c,1.07368421052632
Brain_Non.Myeloid__brain.pericyte,0.461538461538462,0.6,Tsc22d1,Myocd,Epas1,Mef2c,1.06153846153846
Brain_Non.Myeloid__brain.pericyte,0.614035087719298,0.583333333333333,Tsc22d1,Myocd,Epas1,Hes1,1.19736842105263
Brain_Myeloid__microglial.cell,0.191011235955056,0.283333333333333,Mafb,Irf5,Mef2c,Ncoa3,0.47434456928839
Brain_Myeloid__microglial.cell,0.333333333333333,0.25,Mafb,Maf,Mef2c,Bmyc,0.583333333333333
Brain_Myeloid__microglial.cell,0.272727272727273,0.25,Mafb,Mef2c,Ncoa3,Bmyc,0.522727272727273
Brain_Myeloid__macrophage,0.169811320754717,0.15,Irf5,Maf,Bmyc,Ncoa3,0.319811320754717
Brain_Myeloid__macrophage,0.140625,0.15,Irf5,Mafb,Bmyc,Ncoa3,0.290625
Brain_Myeloid__macrophage,0.103448275862069,0.15,Irf5,Bmyc,Cbfa2t3,Ncoa3,0.253448275862069
Large_Intestine__epithelial.cell.of.large.intestine,0.427184466019417,0.733333333333333,Elf3,Cdx1,Klf5,Nfe2l2,1.16051779935275
Large_Intestine__epithelial.cell.of.large.intestine,0.477777777777778,0.716666666666667,Elf3,Cdx1,Ehf,Nfe2l2,1.19444444444444
Large_Intestine__epithelial.cell.of.large.intestine,0.37719298245614,0.716666666666667,Elf3,Cdx1,Klf5,Ehf,1.09385964912281
Large_Intestine__enterocyte.of.epithelium.of.large.intestine,0.666666666666667,0.566666666666667,Mxd1,Tcf7l2,Vdr,Klf5,1.23333333333333
Large_Intestine__enterocyte.of.epithelium.of.large.intestine,0.785714285714286,0.55,Mxd1,Hnf4a,Tcf7l2,Vdr,1.33571428571429
Large_Intestine__enterocyte.of.epithelium.of.large.intestine,0.523076923076923,0.566666666666667,Hnf4a,Tcf7l2,Vdr,Klf5,1.08974358974359
Large_Intestine__large.intestine.goblet.cell,0.865384615384615,0.75,Spdef,Cdx1,Klf5,Tsc22d1,1.61538461538462
Large_Intestine__large.intestine.goblet.cell,0.862745098039216,0.733333333333333,Spdef,Cdx1,Klf5,Xbp1,1.59607843137255
Large_Intestine__large.intestine.goblet.cell,0.862745098039216,0.733333333333333,Spdef,Cdx1,Tsc22d1,Xbp1,1.59607843137255
Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine,1,0.3,Ehf,Cdx1,Sox9,Spib,1.3
Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine,1,0.2,Cdx1,Sox9,Elf3,Spib,1.2
Large_Intestine__Brush.cell.of.epithelium.proper.of.large.intestine,1,0.166666666666667,Ehf,Cdx1,St18,Spib,1.16666666666667
Large_Intestine__enteroendocrine.cell,1,0.23728813559322,Neurod1,Elf3,Cdx1,Ehf,1.23728813559322
Large_Intestine__enteroendocrine.cell,1,0.23728813559322,Neurod1,Elf3,Insm1,Sox4,1.23728813559322
Large_Intestine__enteroendocrine.cell,0.933333333333333,0.23728813559322,Neurod1,Elf3,Klf5,Ehf,1.17062146892655
Fat__myeloid.cell,0.101910828025478,0.266666666666667,Irf5,Mafb,Nfe2l2,Sub1,0.368577494692144
Fat__myeloid.cell,0.118181818181818,0.216666666666667,Irf5,Ets2,Nfe2l2,Sub1,0.334848484848485
Fat__myeloid.cell,0.1015625,0.216666666666667,Irf5,Nfe2l2,Rbpj,Sub1,0.318229166666667
Fat__T.cell,0.0357941834451902,0.533333333333333,Ets1,Tsc22d3,Klf13,Sub1,0.569127516778523
Fat__T.cell,0.078125,0.5,Tcf7,Ets1,Klf13,Sub1,0.578125
Fat__T.cell,0.0353356890459364,0.5,Ets1,Elf1,Klf13,Sub1,0.535335689045936
Fat__B.cell,0.138075313807531,0.55,Rel,Tsc22d3,Ets1,Sub1,0.688075313807531
Fat__B.cell,0.0474074074074074,0.533333333333333,Tsc22d3,Ets1,Sub1,Foxp1,0.580740740740741
Fat__B.cell,0.108771929824561,0.516666666666667,Rel,Tsc22d3,Sub1,Foxp1,0.625438596491228
Fat__mesenchymal.stem.cell.of.adipose,0.162878787878788,0.716666666666667,Aebp1,Nfia,Nfib,Xbp1,0.879545454545455
Fat__mesenchymal.stem.cell.of.adipose,0.25,0.683333333333333,Aebp1,Ndn,Nfib,Xbp1,0.933333333333333
Fat__mesenchymal.stem.cell.of.adipose,0.165178571428571,0.616666666666667,Aebp1,Zbtb20,Nfib,Xbp1,0.781845238095238
Fat__endothelial.cell,0.0642458100558659,0.383333333333333,Tsc22d1,Epas1,Tcf4,Ctnnb1,0.447579143389199
Fat__endothelial.cell,0.0745762711864407,0.366666666666667,Id1,Tsc22d1,Epas1,Tcf4,0.441242937853107
Fat__endothelial.cell,0.16030534351145,0.35,Tcf15,Id1,Tsc22d1,Tcf4,0.51030534351145
Fat__X,0.866666666666667,0.216666666666667,Gata3,Sox9,Esr1,Trps1,1.08333333333333
Fat__X,0.538461538461538,0.233333333333333,Gata3,Sox9,Tbx3,Trps1,0.771794871794872
Fat__X,0.684210526315789,0.216666666666667,Gata3,Sox9,Foxa1,Trps1,0.900877192982456
Fat__natural.killer.cell,0.207547169811321,0.55,Mxd1,Tsc22d3,Ets1,Hmgb2,0.757547169811321
Fat__natural.killer.cell,0.295238095238095,0.516666666666667,Nr4a2,Tsc22d3,Ets1,Hmgb2,0.811904761904762
Fat__natural.killer.cell,0.221428571428571,0.516666666666667,Tbx21,Tsc22d3,Ets1,Hmgb2,0.738095238095238
Heart__fibroblast,0.306306306306306,0.566666666666667,Nfia,Tcf21,Tsc22d3,Xbp1,0.872972972972973
Heart__fibroblast,0.0835322195704057,0.583333333333333,Nfia,Nfib,Tsc22d3,Xbp1,0.666865552903739
Heart__fibroblast,0.0821256038647343,0.566666666666667,Nfia,Nfib,Tsc22d3,Tcf4,0.648792270531401
Heart__endothelial.cell,0.271844660194175,0.466666666666667,Sox18,Tcf15,Tcf4,Ets1,0.738511326860841
Heart__endothelial.cell,0.18,0.45,Tcf15,Tcf4,Epas1,Ets1,0.63
Heart__endothelial.cell,0.170886075949367,0.45,Tcf4,Epas1,Elk3,Fli1,0.620886075949367
Heart__myofibroblast.cell,0.636363636363636,0.583333333333333,Heyl,Tcf4,Epas1,Cbfa2t3,1.21969696969697
Heart__myofibroblast.cell,0.62962962962963,0.566666666666667,Heyl,Nr2f2,Tcf4,Cbfa2t3,1.1962962962963
Heart__myofibroblast.cell,0.299145299145299,0.583333333333333,Nr2f2,Tcf4,Epas1,Cbfa2t3,0.882478632478632
Heart__endocardial.cell,0.12779552715655,0.666666666666667,Nfia,Nfib,Tsc22d3,Foxp1,0.794462193823216
Heart__endocardial.cell,0.216374269005848,0.616666666666667,Nr2f2,Nfia,Nfib,Foxp1,0.833040935672515
Heart__endocardial.cell,0.204419889502762,0.616666666666667,Nr2f2,Tsc22d1,Nfib,Foxp1,0.821086556169429
Heart__leukocyte,0.267326732673267,0.45,Mafb,Irf5,Tsc22d3,Maf,0.717326732673267
Heart__leukocyte,0.3,0.4,Mafb,Irf5,Tsc22d3,Rbpj,0.7
Heart__leukocyte,0.228571428571429,0.4,Mafb,Tsc22d3,Maf,Nfe2l2,0.628571428571429
Heart__smooth.muscle.cell,0.122137404580153,0.761904761904762,Nr2f2,Tsc22d1,Epas1,Hnrnpk,0.884042166484915
Heart__smooth.muscle.cell,0.18562874251497,0.738095238095238,Nr2f2,Mef2c,Tsc22d1,Hnrnpk,0.923723980610208
Heart__smooth.muscle.cell,0.388888888888889,0.666666666666667,Nr2f2,Tsc22d1,Myocd,Hnrnpk,1.05555555555556
Heart__cardiac.muscle.cell,0.146153846153846,0.633333333333333,Chchd3,Phb,Pttg1,Tsc22d1,0.779487179487179
Heart__cardiac.muscle.cell,0.193370165745856,0.583333333333333,Phb,Pttg1,Tsc22d1,Zbtb20,0.77670349907919
Heart__cardiac.muscle.cell,0.653061224489796,0.533333333333333,Chchd3,Myocd,Pttg1,Tsc22d1,1.18639455782313
Heart__cardiac.neuron,0.5,0.428571428571429,Sox10,Srebf1,Foxo1,Notch1,0.928571428571429
Heart__cardiac.neuron,0.4,0.428571428571429,Sox10,Foxo1,Notch1,Nfia,0.828571428571429
Heart__cardiac.neuron,1,0.357142857142857,Rxrg,Sox10,Foxo1,Notch1,1.35714285714286
Heart__professional.antigen.presenting.cell,0.40625,0.220338983050847,Relb,Etv3,Cbfa2t3,Sub1,0.626588983050847
Heart__professional.antigen.presenting.cell,0.206349206349206,0.220338983050847,Irf5,Batf3,Cbfa2t3,Sub1,0.426688189400054
Heart__professional.antigen.presenting.cell,0.19672131147541,0.203389830508475,Relb,Irf5,Cbfa2t3,Sub1,0.400111141983884
Kidney__epithelial.cell.of.proximal.tubule,1,0.0333333333333333,Hnf4a,Hnf1b,Nr1h4,Maf,1.03333333333333
Kidney__epithelial.cell.of.proximal.tubule,1,0.0333333333333333,Hnf4a,Hnf1b,Maf,Esrra,1.03333333333333
Kidney__epithelial.cell.of.proximal.tubule,1,0.0333333333333333,Hnf1b,Nr1h4,Maf,Esrra,1.03333333333333
Kidney__endothelial.cell,0.126506024096386,0.35,Pbx1,Ncoa3,Tsc22d1,Tcf4,0.476506024096386
Kidney__endothelial.cell,0.25974025974026,0.333333333333333,Pbx1,Tsc22d1,Elk3,Tcf4,0.593073593073593
Kidney__endothelial.cell,0.196078431372549,0.333333333333333,Pbx1,Ncoa3,Tsc22d1,Epas1,0.529411764705882
Kidney__macrophage,0.09375,0.243243243243243,Mafb,Irf5,Nfe2l2,Cited2,0.336993243243243
Kidney__macrophage,0.163265306122449,0.216216216216216,Irf5,Nfe2l2,Zeb2,Maf,0.379481522338665
Kidney__macrophage,0.137931034482759,0.216216216216216,Mafb,Irf5,Runx1,Cited2,0.354147250698975
Kidney__natural.killer.cell,0,0,Ets1,Tbx21,Fli1,Satb1,0
Kidney__natural.killer.cell,0,0,Ets1,Tbx21,Fli1,Txk,0
Kidney__natural.killer.cell,0,0,Ets1,Tbx21,Satb1,Txk,0
Liver__natural.killer.cell,0.0514705882352941,0.358974358974359,Stat1,Ets1,Eno1,Elf1,0.410444947209653
Liver__natural.killer.cell,0.122641509433962,0.333333333333333,Bcl11b,Lrrfip1,Ets1,Eno1,0.455974842767296
Liver__natural.killer.cell,0.0948905109489051,0.333333333333333,Bcl11b,Ets1,Eno1,Elf1,0.428223844282238
Liver__hepatocyte,1,0.516666666666667,Creb3l3,Klf15,Hnf4a,Chchd3,1.51666666666667
Liver__hepatocyte,1,0.466666666666667,Creb3l3,Hnf4a,Nr1h3,Chchd3,1.46666666666667
Liver__hepatocyte,1,0.466666666666667,Klf15,Hnf4a,Nr1h3,Chchd3,1.46666666666667
Liver__Kupffer.cell,0.5625,0.15,Nr1h3,Irf7,Tcf7l2,Stat1,0.7125
Liver__Kupffer.cell,0.615384615384615,0.133333333333333,Nr1h3,Tcf7l2,Mafb,Maf,0.748717948717949
Liver__Kupffer.cell,0.375,0.15,Irf7,Tcf7l2,Mafb,Stat1,0.525
Liver__endothelial.cell.of.hepatic.sinusoid,0.744186046511628,0.533333333333333,Maf,Epas1,Ncoa3,Ets1,1.27751937984496
Liver__endothelial.cell.of.hepatic.sinusoid,0.492307692307692,0.533333333333333,Maf,Notch1,Ncoa3,Ets1,1.02564102564103
Liver__endothelial.cell.of.hepatic.sinusoid,0.783783783783784,0.483333333333333,Maf,Epas1,Notch1,Ets1,1.26711711711712
Liver__B.cell,0.0610328638497653,0.317073170731707,Tsc22d3,Foxp1,Ets1,Irf2,0.378106034581473
Liver__B.cell,0.0548523206751055,0.317073170731707,Tsc22d3,Foxp1,Ets1,Ikzf3,0.371925491406813
Liver__B.cell,0.0481927710843374,0.292682926829268,Tsc22d3,Hhex,Foxp1,Ets1,0.340875697913606
Lung__stromal.cell,0.0596658711217184,0.416666666666667,Nfib,Tsc22d3,Nfia,Xbp1,0.476332537788385
Lung__stromal.cell,0.0710059171597633,0.4,Nfib,Zbtb20,Tsc22d3,Xbp1,0.471005917159763
Lung__stromal.cell,0.194690265486726,0.366666666666667,Tcf21,Nfib,Tsc22d3,Xbp1,0.561356932153392
Lung__epithelial.cell.of.lung,0.972972972972973,0.6,Etv5,Nkx2.1,Ctnnb1,Tsc22d1,1.57297297297297
Lung__epithelial.cell.of.lung,1,0.5,Etv5,Nkx2.1,Tfcp2l1,Ctnnb1,1.5
Lung__epithelial.cell.of.lung,0.584905660377358,0.516666666666667,Etv5,Tfcp2l1,Ctnnb1,Tsc22d1,1.10157232704403
Lung__lung.endothelial.cell,0.173913043478261,0.533333333333333,Epas1,Sox18,Foxp1,Nfib,0.707246376811594
Lung__lung.endothelial.cell,0.161616161616162,0.533333333333333,Epas1,Sox18,Foxp1,Tcf4,0.694949494949495
Lung__lung.endothelial.cell,0.171428571428571,0.5,Epas1,Sox18,Id1,Foxp1,0.671428571428571
Lung__B.cell,0.0728929384965831,0.56140350877193,Tsc22d3,Foxp1,Ncoa3,Ets1,0.634296447268513
Lung__B.cell,0.0783699059561129,0.43859649122807,Tsc22d3,Foxp1,Mef2c,Ets1,0.516966397184183
Lung__B.cell,0.0958333333333333,0.403508771929825,Spib,Tsc22d3,Foxp1,Ets1,0.499342105263158
Lung__leukocyte,0.133333333333333,0.228571428571429,Mxd1,Nfil3,Ets2,Tsc22d3,0.361904761904762
Lung__leukocyte,0.111111111111111,0.228571428571429,Mxd1,Ets2,Tsc22d3,Hmgb2,0.33968253968254
Lung__leukocyte,0.35,0.2,Mxd1,Ets2,Nfe2,Tsc22d3,0.55
Lung__monocyte,0.127272727272727,0.35,Irf5,Nfil3,Klf13,Lrrfip1,0.477272727272727
Lung__monocyte,0.41304347826087,0.316666666666667,Irf5,Nfil3,Klf13,Pou2f2,0.729710144927536
Lung__monocyte,0.322033898305085,0.316666666666667,Irf5,Klf13,Cbfa2t3,Tcf7l2,0.638700564971751
Lung__T.cell,0.115384615384615,0.679245283018868,Tcf7,Ets1,Klf13,Tsc22d3,0.794629898403483
Lung__T.cell,0.0441558441558442,0.641509433962264,Ets1,Klf13,Tsc22d3,Foxp1,0.685665278118108
Lung__T.cell,0.118773946360153,0.584905660377358,Ets1,Lef1,Klf13,Tsc22d3,0.703679606737512
Lung__classical.monocyte,0.0970464135021097,0.766666666666667,Irf5,Klf13,Eno1,Sub1,0.863713080168776
Lung__classical.monocyte,0.0376681614349776,0.7,Klf13,Xbp1,Eno1,Sub1,0.737668161434977
Lung__classical.monocyte,0.120588235294118,0.683333333333333,Irf5,Klf13,Xbp1,Eno1,0.803921568627451
Lung__ciliated.columnar.cell.of.tracheobronchial.tree,0.0498533724340176,0.68,Ctnnb1,Tsc22d1,Pttg1,Nfe2l2,0.729853372434018
Lung__ciliated.columnar.cell.of.tracheobronchial.tree,0.037117903930131,0.68,Ctnnb1,Tsc22d1,Nfe2l2,Med1,0.717117903930131
Lung__ciliated.columnar.cell.of.tracheobronchial.tree,0.0677966101694915,0.64,Tsc22d1,Pttg1,Nfe2l2,Med1,0.707796610169492
Lung__myeloid.cell,0.197802197802198,0.6,Irf5,Cbfa2t3,Sub1,Ncoa3,0.797802197802198
Lung__myeloid.cell,0.139175257731959,0.45,Irf5,Cbfa2t3,Sub1,Taf10,0.589175257731959
Lung__myeloid.cell,0.242424242424242,0.4,Irf5,Cbfa2t3,Sub1,Rbpj,0.642424242424242
Lung__natural.killer.cell,0.0398936170212766,0.405405405405405,Klf13,Tsc22d3,Hmgb2,Satb1,0.445299022426682
Lung__natural.killer.cell,0.034324942791762,0.405405405405405,Klf13,Ets1,Tsc22d3,Satb1,0.439730348197167
Lung__natural.killer.cell,0.0258175559380379,0.405405405405405,Klf13,Ets1,Tsc22d3,Hmgb2,0.431222961343443
Mammary_Gland__luminal.epithelial.cell.of.mammary.gland,0.177474402730375,0.866666666666667,Sox9,Tgif1,Hnrnpab,Hnrnpk,1.04414106939704
Mammary_Gland__luminal.epithelial.cell.of.mammary.gland,0.116504854368932,0.8,Sox9,Nfib,Hnrnpab,Hnrnpk,0.916504854368932
Mammary_Gland__luminal.epithelial.cell.of.mammary.gland,0.18359375,0.783333333333333,Sox9,Ets2,Hnrnpab,Hnrnpk,0.966927083333333
Mammary_Gland__basal.cell,0.0571715145436309,0.95,Hnrnpab,Nfib,Cnbp,Sub1,1.00717151454363
Mammary_Gland__basal.cell,0.133016627078385,0.933333333333333,Fosl1,Hnrnpab,Cnbp,Sub1,1.06634996041172
Mammary_Gland__basal.cell,0.0215384615384615,0.933333333333333,Hnrnpab,Cnbp,Klf13,Sub1,0.954871794871795
Mammary_Gland__stromal.cell,0.427184466019417,0.733333333333333,Ifi205,Aebp1,Ifi204,Nfia,1.16051779935275
Mammary_Gland__stromal.cell,0.325396825396825,0.683333333333333,Ifi205,Aebp1,Nfia,Tcf4,1.00873015873016
